('ArchivoPruebaHIDS_100.txt', 'c0f112632448017ad44d19b2b3ad083f99f3b14731b75836f20a2a805a650e1d', '92a3cd841a8c89595aa76ea14706460f68dcc9b68857a79afcdf63e86f2e7812', 'SHA256')
('ArchivoPruebaHIDS_101.txt', 'f16e11ac085855d1eec6cbf1ab9774214b477826992340ae15b0442642e89618', '1f8782d073cd643faf057e83449fa4448af091730913439fa0380980e7d5e2a0', 'SHA256')
('ArchivoPruebaHIDS_102.txt', '38a306161f1b4cad9f963a6f4b7f43078889223b37cee0896ee1b6558025004d', 'ca70cb47f40277b591438abed4bf969a01d1271b8a3b6e53496ba4f4f3cf6409', 'SHA256')
('ArchivoPruebaHIDS_103.txt', 'f1764919f1fcc089ba14356b4f934bcd0de4c416', '0cb22dfab73304d1dfdb89e02e21b9f1674e15e8', 'SHA1')
('ArchivoPruebaHIDS_104.txt', '8622fe4f9d86b70395214daa72b7960238275ab2', '848a5720c82e1e5e720c593e7855d7a9bc80b025', 'SHA1')
('ArchivoPruebaHIDS_105.txt', '87fc7b8d069f889237d05598ada05e5d39d0f59b', '3e4a5446a06ba7d0a283ea44ebf2a42b8c14375e', 'SHA1')
('ArchivoPruebaHIDS_106.txt', 'e43e67a25afeb5ba92f921116ce33354e47f66c0', 'b3321ce8528bf3dc3d4f0d0b23a8652d8797e155', 'SHA1')
('ArchivoPruebaHIDS_107.txt', 'cc11266336c8584ef1aa3e3ac66cc3765f7c77c0f4bd640268b047880a7d716a', '88eb0cfd778bd1838e826735c7c69823b1a795f0603353cafb62a6c4d7037ec0', 'SHA256')
('ArchivoPruebaHIDS_108.txt', '2594266c48e76b91065cecda34f6e72b18966197e28125d5a1dcf4d2324122e9', '51ca17d0e18f9f9780fff45b88678a5e9723f00b946847ec0aab5d15df586d79', 'SHA256')
('ArchivoPruebaHIDS_109.txt', 'e17559f4be784387f310233f723c52e4735693f8', 'd886f267514cceecd3b77a3d1643109e1aaab89a', 'SHA1')
('ArchivoPruebaHIDS_110.txt', '0aa89001249750dd806ee14bd88a697bc4b44bc2', '5d08f7bc78ec54ebfe1349707049c17fb25b76b6', 'SHA1')
('ArchivoPruebaHIDS_111.txt', 'bb7a60bd6d06281f08c73a2ba2a6079d344af17d', '029142520dc0a5b71c23a375a77cc63a188414f4', 'SHA1')
('ArchivoPruebaHIDS_112.txt', 'd94c7be3dc58c5c1c480fabe94e8f6d5b64e4f11', 'eb12d5edcaf3085fc49fff2cd9deb7d82f120c91', 'SHA1')
('ArchivoPruebaHIDS_113.txt', 'fc67f2fe8944d6fcaa526038fad538c3947aa502', '7f089f9814443cc9cc7282101d3b4bfc245f1816', 'SHA1')
('ArchivoPruebaHIDS_114.txt', 'af0731af7ef0a2638867741ea6642d5b3b6d9fde', '8c9f13f07648cb0906eef707cf0cea5fd8b2c683', 'SHA1')
('ArchivoPruebaHIDS_115.txt', 'b55befbe31fd58dd3a186441f87dfd0a36bd05ad', 'c4d9f12bd85214f70c6d26c5816ed43f2306cd23', 'SHA1')
('ArchivoPruebaHIDS_116.txt', 'a2b8013211c7dacbc54256e85f35b3c8d66668d9f54d9f9f23b99ff38d97d9db', 'f1d8118b2a6b567bc63853112b56e5dedfc17c986363f874e19a96fb448cd421', 'SHA256')
('ArchivoPruebaHIDS_117.txt', 'aa6da5fa976b3d40bd7ce1839bbac12dfca5d4b60dd0c0a7297508f3a5e35d76', 'c23ef8f21658a22b8e028b3be12491b22791ea31778fac68ea8940fe7395d78f', 'SHA256')
('ArchivoPruebaHIDS_118.txt', '88dc162ac364a8e36e1ac0899b32cc7a07ff0008', 'd8cce426605a3c4a501ad3599c6ac967159438ca', 'SHA1')
('ArchivoPruebaHIDS_119.txt', 'd593cd15faf76655d70b5c144a8c62ecdb1e775c', 'fc153df5e7b07f3eeba69cfc2162d5d3c131484b', 'SHA1')
('ArchivoPruebaHIDS_120.txt', '8f27da8bb1eeb3fa18128e81853408aa7c9198123d44ce9371d6d71981043ad8', '643aa22ebfd63a9865d6ce986f4875def30fc20fa445ee6520f7e8ae0e337418', 'SHA256')
('ArchivoPruebaHIDS_121.txt', '895a971a1fb383e662f8b549565228811e8332a0', '727ba4c56647e7e7f146d3a173152c5d1b678cd0', 'SHA1')
('ArchivoPruebaHIDS_122.txt', 'b3614f4196efe87ccdc4cb19646faf34d1d0c1f4', '2dd339f8234207971b9cec36377ea833bb9f1a7b', 'SHA1')
('ArchivoPruebaHIDS_123.txt', '83fe948881352f62f371d519ccd334e7c20a4ae3', '3b424aaeacc778f01b4648d106afd1bbfacc55ee', 'SHA1')
('ArchivoPruebaHIDS_124.txt', 'c851c6590035de91c5a82db67d93199feb513499f8f7a2f5e6617966b2ee900e', 'd260b0ed09c3e06bcce445a9ed450086fb3ab9f6e371b58085fc129ba4979c1e', 'SHA256')
('ArchivoPruebaHIDS_125.txt', 'dbff5d353d09d626b2195d74cf6dff11bb8da70e62cf72a4a6702fbec0de6fdb', '9bc0c6a914f0ea16f7878eb07b37a70bfe6145d2bac9efde13a97cf167c8d556', 'SHA256')
('ArchivoPruebaHIDS_126.txt', 'ddbc7070435737b05ec6314084a3573a4aac5060', '7536125b6bcbfd19b937087d034b40c8bcb49f83', 'SHA1')
('ArchivoPruebaHIDS_127.txt', '780a15a52dfb2f8b20de3be1afe637cbc033241f', 'a93117ed861b8f070dab67994d4cbb2e3c44d0b5', 'SHA1')
('ArchivoPruebaHIDS_128.txt', '09b1d3898e584d968528b0187b84e0fb7f5c4680840c2f1583759a6bf91c2ca1', '9af738553a4809d4e4a251b06e8a8480a22287db73f5a7655aafb442d9e0c64b', 'SHA256')
('ArchivoPruebaHIDS_129.txt', 'e77da1dec4d5465d22b50e4cd0832f71dfdfed87a816525dd7fabc96e73bb6b9', 'd7d1efda7cd938ca6043e6589df46a02866913072a01209bff025f24888c0ea9', 'SHA256')
('ArchivoPruebaHIDS_130.txt', 'ec9a9ed2c6c86c7fa0336f995e294c41adb1f272', 'c5860a61577043ddd684c7714a31e71475ed8d68', 'SHA1')
('ArchivoPruebaHIDS_131.txt', 'b7b8a122e44bb473ca332c4706923432bfaeea704a74128297f44077d8542059', '179745bbdc1cf253e0d3f193304ad69d9523fd4d45dc1569fc1ea3335506d354', 'SHA256')
('ArchivoPruebaHIDS_132.txt', '2dac5c0f88365ebb9745d91ff1986aafd95253cb', '741100a06a5b9f280c9ce93b7adeabf638606c37', 'SHA1')
